region,year,lri_incidence_rate_per100k,pm25
Region IV-B,2020,1383.383215506818,11.962126
Region IV-B,2021,1585.752889545544,11.920432
Region IV-B,2022,1787.904311919688,12.919474
Region IX,2013,2096.4194317829665,14.473359
Region IX,2014,2051.1137483597936,15.140581
Region IX,2015,1993.217858020333,14.548189
Region IX,2016,1883.07222431085,12.565103
Region IX,2017,1715.7552246994237,12.626498
Region IX,2018,1537.2346423967936,14.106626
Region IX,2019,1394.0120445041866,12.495613
Region IX,2020,1331.7207458636467,10.4591255
Region IX,2021,1489.8125216230767,11.959798
Region IX,2022,1646.5154202931435,15.467205
Region V,2013,2289.3779327084053,12.01901
Region V,2014,2220.894617255045,12.610391
Region V,2015,2146.652500573355,13.487049
Region V,2016,2024.3029562436116,10.695949
Region V,2017,1843.6875476951448,11.54687
Region V,2018,1651.9908168541815,11.65651
Region V,2019,1498.0802117762216,13.92081
Region V,2020,1431.2271448145266,11.533955
Region V,2021,1574.6428373618985,11.306577
Region V,2022,1718.2878614251915,12.418019
Region VI,2013,2443.946465725838,14.335128
Region VI,2014,2375.2159618461433,15.440964
Region VI,2015,2296.553520901108,16.225225
Region VI,2016,2158.208786407768,13.783962
Region VI,2017,1949.3849709246867,14.8868475
Region VI,2018,1725.5559387873618,13.158613
Region VI,2019,1545.836858562045,15.619741
Region VI,2020,1468.0660561589618,14.535312
Region VI,2021,1630.47886377877,15.035101
Region VI,2022,1794.3605795781684,16.564726
Region VII,2013,2235.53999937795,15.590881
Region VII,2014,2151.425303714833,16.355497
Region VII,2015,2059.9019040337803,16.114704
Region VII,2016,1926.7983416980624,13.905567
Region VII,2017,1746.0992305402974,14.461564
Region VII,2018,1559.7799365506048,13.666978
Region VII,2019,1412.2682336702,16.144978
Region VII,2020,1348.1108898102675,14.465497
Region VII,2021,1480.4936483497124,15.092706
Region VII,2022,1611.6530022570223,16.831034
Region VIII,2013,2523.795026108967,11.864539
Region VIII,2014,2434.8726741575115,14.463006
Region VIII,2015,2339.070135033965,13.110632
Region VIII,2016,2196.3171702091768,9.990697
Region VIII,2017,2001.2148087589617,10.646852
Region VIII,2018,1801.26734433655,12.556843
Region VIII,2019,1645.130149839385,13.518981
Region VIII,2020,1581.1919086784549,10.411831
Region VIII,2021,1797.5677983544767,11.931639
Region VIII,2022,2014.957068452735,12.079433
Region X,2013,2189.652600519,12.808022
Region X,2014,2126.500314216486,14.315132
Region X,2015,2053.41646736941,16.793947
Region X,2016,1928.431348274364,14.518221
Region X,2017,1744.669011614642,13.701519
Region X,2018,1550.6397418995662,15.898725
Region X,2019,1395.719439402074,13.038727
Region X,2020,1329.20266051695,12.569688
Region X,2021,1473.552023419442,13.936402
Region X,2022,1616.858762612422,15.65348
Region XI,2013,2463.279708392932,14.48442
Region XI,2014,2391.186110605368,16.316341
Region XI,2015,2310.174347668812,15.328872
Region XI,2016,2177.4515120703,12.835736
Region XI,2017,1983.487129466526,12.77151
Region XI,2018,1778.761590558094,15.953095
Region XI,2019,1615.081661890604,14.2032995
Region XI,2020,1542.847439298688,9.759949
Region XI,2021,1726.919509769126,14.03994
Region XI,2022,1909.963097821858,15.532371
Region XII,2013,2182.4418472485277,14.096073
Region XII,2014,2133.63851139862,14.854753
Region XII,2015,2073.7819123681275,17.477602
Region XII,2016,1961.5684727282476,14.529189
Region XII,2017,1790.29887420878,14.486629
Region XII,2018,1607.3817938729198,16.788147
Region XII,2019,1460.8654543698176,13.763752
Region XII,2020,1398.02821301236,12.540402
Region XII,2021,1584.7064684891325,14.517973
Region XII,2022,1771.0422308109223,15.251545
Region XIII,2013,2413.941152025398,12.482736
Region XIII,2014,2316.381188121002,15.11832
Region XIII,2015,2216.427223173908,14.6429615
Region XIII,2016,2077.19129600166,11.080706
Region XIII,2017,1886.319196974952,11.37738
Region XIII,2018,1689.865062022458,14.102243
Region XIII,2019,1534.7882511738298,14.149572
Region XIII,2020,1467.4461839366882,9.651189
Region XIII,2021,1607.58042082987,12.631905
Region XIII,2022,1747.0344864353622,14.492586
