region,year,copd_prevalence_rate_per100k,pm25
Region VIII,2013,1502.8904180347834,11.864539
Region VIII,2014,1495.05946602332,14.463006
Region VIII,2015,1497.5237862318252,13.110632
Region VIII,2016,1509.066659949125,9.990697
Region VIII,2017,1522.080642474705,10.646852
Region VIII,2018,1535.5570215862815,12.556843
Region VIII,2019,1550.6244890952285,13.518981
Region VIII,2020,1563.5680526016502,10.411831
Region VIII,2021,1568.5984766864417,11.931639
Region VIII,2022,1569.397084833137,12.079433
Region X,2013,1333.171764388098,12.808022
Region X,2014,1323.58244643125,14.315132
Region X,2015,1320.980981595162,16.793947
Region X,2016,1324.859749429794,14.518221
Region X,2017,1328.27379870913,13.701519
Region X,2018,1332.307400499148,15.898725
Region X,2019,1338.56171067967,13.038727
Region X,2020,1344.72208434066,12.569688
Region X,2021,1344.795846363388,13.936402
Region X,2022,1342.623469607704,15.65348
Region XI,2013,1142.586187820142,14.48442
Region XI,2014,1133.605550294502,16.316341
Region XI,2015,1132.854034720442,15.328872
Region XI,2016,1139.8929969833,12.835736
Region XI,2017,1150.063899601376,12.77151
Region XI,2018,1164.108093757878,15.953095
Region XI,2019,1181.427567122676,14.2032995
Region XI,2020,1198.621999532556,9.759949
Region XI,2021,1208.516282727896,14.03994
Region XI,2022,1217.41384622459,15.532371
Region XII,2013,1266.1731742314876,14.096073
Region XII,2014,1273.3975107735375,14.854753
Region XII,2015,1284.1645637337774,17.477602
Region XII,2016,1298.4956528273474,14.529189
Region XII,2017,1312.388286800405,14.486629
Region XII,2018,1325.2437003387774,16.788147
Region XII,2019,1338.67614134781,13.763752
Region XII,2020,1351.0443294268125,12.540402
Region XII,2021,1356.2721460450498,14.517973
Region XII,2022,1359.131677027485,15.251545
Region XIII,2013,1356.771701237304,12.482736
Region XIII,2014,1353.517826997492,15.11832
Region XIII,2015,1356.30044448659,14.6429615
Region XIII,2016,1364.80945989588,11.080706
Region XIII,2017,1372.748387171086,11.37738
Region XIII,2018,1380.557038596802,14.102243
Region XIII,2019,1389.766706954668,14.149572
Region XIII,2020,1398.00456989776,9.651189
Region XIII,2021,1399.911349872186,12.631905
Region XIII,2022,1399.873794047992,14.492586
