region,year,lung_cancer_incidence_rate_per100k,pm25
Region III,2021,14.106131545781428,15.039597
Region III,2022,13.187771390118572,15.607844
Region IV-A,2013,10.079178362892,14.206729
Region IV-A,2014,9.960967521386,14.976756
Region IV-A,2015,9.992531238524,16.66124
Region IV-A,2016,10.063828461646,14.956944
Region IV-A,2017,10.044859691758,16.279793
Region IV-A,2018,10.126132488782,14.319014
Region IV-A,2019,10.36079861787,15.793301
Region IV-A,2020,10.004359236968,15.102027
Region IV-A,2021,11.549929268844,14.599607
Region IV-A,2022,10.472490394876,15.633523
Region IV-B,2013,8.891038340764,12.61208
Region IV-B,2014,8.881626484154,12.67983
Region IV-B,2015,8.986490135986,12.608072
Region IV-B,2016,9.101445848586,11.149527
Region IV-B,2017,9.11200897676,11.057149
Region IV-B,2018,9.28728350378,11.749571
Region IV-B,2019,9.678418236866,13.134948
Region IV-B,2020,9.24185955934,11.962126
Region IV-B,2021,10.74831146855,11.920432
Region IV-B,2022,10.851269955646,12.919474
Region IX,2013,6.596370454626666,14.473359
Region IX,2014,6.666085029383333,15.140581
Region IX,2015,6.860201215026667,14.548189
Region IX,2016,7.03105249944,12.565103
Region IX,2017,7.181959475203334,12.626498
Region IX,2018,7.436584839326667,14.106626
Region IX,2019,7.783020148586668,12.495613
Region IX,2020,7.63048053391,10.4591255
Region IX,2021,9.29487588296,11.959798
Region IX,2022,9.223701916883334,15.467205
Region V,2013,6.404612620898334,12.01901
Region V,2014,6.392600280340001,12.610391
Region V,2015,6.467523917416667,13.487049
Region V,2016,6.502003304566666,10.695949
Region V,2017,6.452614764338333,11.54687
Region V,2018,6.4952077552050005,11.65651
Region V,2019,6.638029838798334,13.92081
Region V,2020,6.3562122310783336,11.533955
Region V,2021,7.44896958088,11.306577
Region V,2022,7.359315335206666,12.418019
Region VI,2013,10.752570352605,14.335128
Region VI,2014,10.643370425415,15.440964
Region VI,2015,10.671756250553337,16.225225
Region VI,2016,10.673252853143332,13.783962
Region VI,2017,10.605848583591667,14.8868475
Region VI,2018,10.72289222289,13.158613
Region VI,2019,10.913614327288334,15.619741
Region VI,2020,10.138859048143331,14.535312
Region VI,2021,11.345134794571669,15.035101
Region VI,2022,11.631924211833336,16.564726
Region VII,2013,10.299285228345,15.590881
Region VII,2014,10.2967844595925,16.355497
Region VII,2015,10.4064379331525,16.114704
Region VII,2016,10.448097756055,13.905567
Region VII,2017,10.3803652491975,14.461564
Region VII,2018,10.39144714069,13.666978
Region VII,2019,10.476264121785,16.144978
Region VII,2020,9.7651098705975,14.465497
Region VII,2021,11.08287121188,15.092706
Region VII,2022,11.1422132198825,16.831034
Region VIII,2013,6.652257972458334,11.864539
Region VIII,2014,6.430104507359999,14.463006
Region VIII,2015,6.60747039163,13.110632
Region VIII,2016,6.770266617833333,9.990697
Region VIII,2017,6.918659360521667,10.646852
Region VIII,2018,7.174225770986666,12.556843
Region VIII,2019,7.55335993776,13.518981
Region VIII,2020,7.461728647728333,10.411831
Region VIII,2021,8.709663372989999,11.931639
Region VIII,2022,9.023269316698334,12.079433
Region X,2013,8.583756090247999,12.808022
Region X,2014,8.598440766484,14.315132
Region X,2015,8.732196102578,16.793947
Region X,2016,8.790485364176,14.518221
Region X,2017,8.652114390028,13.701519
Region X,2018,8.694535637748,15.898725
Region X,2019,8.915844379586,13.038727
Region X,2020,8.55799814169,12.569688
Region X,2021,10.57221071726,13.936402
Region X,2022,10.597352004429998,15.65348
Region XI,2013,7.762825218396,14.48442
Region XI,2014,7.734454935856,16.316341
Region XI,2015,7.852769197885999,15.328872
Region XI,2016,7.883706727728,12.835736
Region XI,2017,7.883851449376,12.77151
Region XI,2018,8.132303844355999,15.953095
Region XI,2019,8.400195193378,14.2032995
Region XI,2020,8.275263924628,9.759949
Region XI,2021,9.607159483934,14.03994
Region XI,2022,9.771814481804,15.532371
Region XII,2013,7.274616932752499,14.096073
Region XII,2014,7.3458603928274995,14.854753
Region XII,2015,7.58035854633,17.477602
Region XII,2016,7.803394974692499,14.529189
Region XII,2017,7.906476982560001,14.486629
Region XII,2018,8.1304505458875,16.788147
Region XII,2019,8.433675284635001,13.763752
Region XII,2020,8.258566121585,12.540402
Region XII,2021,10.1305484141375,14.517973
Region XII,2022,10.4582641162875,15.251545
Region XIII,2013,7.323951333638,12.482736
Region XIII,2014,7.418199092662,15.11832
Region XIII,2015,7.629080010036001,14.6429615
Region XIII,2016,7.775998923174001,11.080706
Region XIII,2017,7.866446851419999,11.37738
Region XIII,2018,8.089769783096,14.102243
Region XIII,2019,8.405732950522,14.149572
Region XIII,2020,8.1560489651,9.651189
Region XIII,2021,9.705031802326,12.631905
Region XIII,2022,9.454545975448,14.492586
