region,year,respiratory_mortality_rate_per100k,pm25
Region III,2021,285.5480684209882,15.039597
Region III,2022,102.29158463174689,15.607844
Region IV-A,2013,64.46539937805149,14.206729
Region IV-A,2014,64.20496496796821,14.976756
Region IV-A,2015,64.11212785677981,16.66124
Region IV-A,2016,63.32403534934032,14.956944
Region IV-A,2017,62.69854650463278,16.279793
Region IV-A,2018,62.80863055397053,14.319014
Region IV-A,2019,62.10024556257067,15.793301
Region IV-A,2020,90.21938578416736,15.102027
Region IV-A,2021,280.68858799785585,14.599607
Region IV-A,2022,97.45643829183544,15.633523
Region IV-B,2013,90.97222341716774,12.61208
Region IV-B,2014,90.5359180985912,12.67983
Region IV-B,2015,90.67130265323496,12.608072
Region IV-B,2016,90.28410724246378,11.149527
Region IV-B,2017,88.65341771786053,11.057149
Region IV-B,2018,86.90052853642587,11.749571
Region IV-B,2019,83.93230748676046,13.134948
Region IV-B,2020,91.98494207922064,11.962126
Region IV-B,2021,238.6548098329106,11.920432
Region IV-B,2022,118.23333443501824,12.919474
Region IX,2013,72.61096250350326,14.473359
Region IX,2014,72.73543776717408,15.140581
Region IX,2015,73.96688025790324,14.548189
Region IX,2016,74.10872243474783,12.565103
Region IX,2017,73.36546619268258,12.626498
Region IX,2018,72.70949292117244,14.106626
Region IX,2019,71.40154928771302,12.495613
Region IX,2020,81.76511172317817,10.4591255
Region IX,2021,232.51521676750065,11.959798
Region IX,2022,107.0658524960224,15.467205
Region V,2013,110.16124648119175,12.01901
Region V,2014,107.9310950597137,12.610391
Region V,2015,106.3898983724955,13.487049
Region V,2016,104.7301751341622,10.695949
Region V,2017,102.26610460324854,11.54687
Region V,2018,98.87244736391916,11.65651
Region V,2019,95.01571912942858,13.92081
Region V,2020,98.25395834224582,11.533955
Region V,2021,229.01874825679903,11.306577
Region V,2022,123.34486162439228,12.418019
Region VI,2013,122.51977354199244,14.335128
Region VI,2014,121.5334795998595,15.440964
Region VI,2015,120.93630097425262,16.225225
Region VI,2016,119.78120430626468,13.783962
Region VI,2017,117.278662985266,14.8868475
Region VI,2018,115.179685415262,13.158613
Region VI,2019,112.23625301867077,15.619741
Region VI,2020,116.89117308483615,14.535312
Region VI,2021,268.2573359004452,15.035101
Region VI,2022,148.02513588927823,16.564726
Region VII,2013,95.67182090158684,15.590881
Region VII,2014,95.00341368839057,16.355497
Region VII,2015,95.38170661855254,16.114704
Region VII,2016,93.78550423204436,13.905567
Region VII,2017,90.526282781722,14.461564
Region VII,2018,87.81935557325806,13.666978
Region VII,2019,85.39819137146266,16.144978
Region VII,2020,98.29242955034618,14.465497
Region VII,2021,269.07901141178877,15.092706
Region VII,2022,126.7786288755374,16.831034
Region VIII,2013,122.8461836927341,11.864539
Region VIII,2014,119.77797025048604,14.463006
Region VIII,2015,120.64753137900188,13.110632
Region VIII,2016,120.79026956593836,9.990697
Region VIII,2017,119.68626214682614,10.646852
Region VIII,2018,118.79012713300123,12.556843
Region VIII,2019,116.61086416950285,13.518981
Region VIII,2020,122.66762233554591,10.411831
Region VIII,2021,267.5634124351943,11.931639
Region VIII,2022,156.64455936028952,12.079433
Region X,2013,92.42837663078956,12.808022
Region X,2014,92.40047250171824,14.315132
Region X,2015,93.54162343802302,16.793947
Region X,2016,92.9287003273318,14.518221
Region X,2017,91.91510656877064,13.701519
Region X,2018,89.4652460124791,15.898725
Region X,2019,85.79735890696716,13.038727
Region X,2020,96.37834989150628,12.569688
Region X,2021,295.27338174897574,13.936402
Region X,2022,125.68052644464846,15.65348
Region XI,2013,92.0556186773963,14.48442
Region XI,2014,91.18279998985886,16.316341
Region XI,2015,92.51000165253964,15.328872
Region XI,2016,93.361623445004,12.835736
Region XI,2017,92.23245289545233,12.77151
Region XI,2018,90.1491293390276,15.953095
Region XI,2019,88.37159358250622,14.2032995
Region XI,2020,98.44556351231512,9.759949
Region XI,2021,248.7259351392301,14.03994
Region XI,2022,119.1287696428322,15.532371
Region XII,2013,74.26641637617044,14.096073
Region XII,2014,74.61087966344206,14.854753
Region XII,2015,76.09929342468033,17.477602
Region XII,2016,76.62726060297241,14.529189
Region XII,2017,75.5136038518657,14.486629
Region XII,2018,74.33618235420124,16.788147
Region XII,2019,73.44608613643213,13.763752
Region XII,2020,81.63505000932679,12.540402
Region XII,2021,222.5202217501385,14.517973
Region XII,2022,108.6309264641927,15.251545
Region XIII,2013,98.58346922009032,12.482736
Region XIII,2014,98.77388372089322,15.11832
Region XIII,2015,100.15003515587722,14.6429615
Region XIII,2016,100.16295990161346,11.080706
Region XIII,2017,98.63387742055956,11.37738
Region XIII,2018,96.57541815855156,14.102243
Region XIII,2019,93.27264135622757,14.149572
Region XIII,2020,103.46595371570216,9.651189
Region XIII,2021,266.38158589702186,12.631905
Region XIII,2022,131.17915423153585,14.492586
